YEAR_MONTH,SECTOR_CODE,VOLUME,VALUE,WHO_ATC_CODE,MUNICIPALITY,brick_nr
202102,P,4,958.64,A10AB01,Assens,303
202102,P,297,3265.77,A10BA02,København,100
202101,P,1,308.29,A10BD15,Haderslev,311
202102,P,1,1050.99,A10BK01,Ringsted,205
202102,P,480,4201.5,A10BA02,Svendborg,301
202102,P,-1,-326.85,A10AE04,Helsingør,113
202102,P,7,5355.0,A10BJ06,Frederikssund,114
202102,P,95,83100.06,A10BJ06,Lolland,209
202102,P,70,1435.0,A10BA02,Thisted,504
202102,P,29,7855.69,A10BD08,Frederikssund,114
202102,P,20,6474.24,A10AE04,Skive,409
202102,P,15,16845.0,A10BK01,Holstebro,408
202102,P,1,332.47,A10BD08,Slagelse,204
202102,P,43,42297.55,A10BK03,København,100
202102,P,11,9042.0,A10BJ05,Frederikssund,114
202102,P,0,0.0,A10BH03,København,100
202102,P,4,3060.0,A10BJ06,København,100
202102,P,3,820.0,A10AC01,Varde,314
202102,P,4,3064.0,A10BJ06,Viborg,410
202102,P,118,51757.18,A10AE06,Randers,411
202102,P,5,5724.4,A10BK01,Frederikssund,114
202102,P,6,10462.26,A10BJ02,Hillerød,111
202102,P,-1,-926.0,A10BD20,Vordingborg,207
202102,P,-1,-227.5,A10BD08,Svendborg,301
202102,P,2,1530.0,A10BJ06,København,100
202102,P,4,4492.0,A10BK01,Gentofte,109
202102,P,18,466.92,A10BB12,København,100
202102,P,-3,-2816.1,A10BH01,Tønder,309
202102,P,-2,-439.82,A10BD13,Næstved,206
202102,P,0,0.0,A10BK01,Holstebro,408
202102,P,3,743.13,A10BD07,Thisted,504
202102,P,-2,-2050.76,A10BK03,Næstved,206
202102,P,18,14040.0,A10BD07,Herning,406
202102,P,104,35516.61,A10BK03,København,100
202102,P,36,12298.28,A10BK03,Frederiksberg,105
202102,P,32,20192.0,A10BJ06,Esbjerg,313
202102,P,7,6783.0,A10BK01,Frederikshavn,508
202102,P,4,1877.12,A10AE06,Holstebro,408
202102,P,46,47338.52,A10BK03,Holstebro,408
202102,P,102,81669.08,A10BJ06,Holstebro,408
202102,P,1,469.28,A10AE06,Slagelse,204
202102,P,22,20826.0,A10BJ06,Esbjerg,313
202102,P,3,93.9,A10BB12,København,100
202102,P,3,2712.66,A10BD20,Varde,314
202102,P,1,766.0,A10BJ06,København,100
202102,P,1,296.16,A10AB05,Lolland,209
202102,S,1,1741.0,A10BJ02,Sønderborg,307
202102,P,17,13022.0,A10BJ06,Roskilde,202
202102,P,2,2218.91,A10BD15,Holstebro,408
202102,P,20,15056.4,A10BJ02,Lolland,209
202102,P,26,4264.96,A10AB05,København,100
202102,P,1,296.16,A10AB05,Bornholm,101
202102,P,-3,-1689.39,A10AE06,Frederiksberg,105
202102,P,4,4211.68,A10BJ02,København,100
202102,P,4,96.0,A10BA02,Esbjerg,313
202103,P,1,306.08,A10AE04,Thisted,504
202102,P,1,26.61,A10BB12,København,100
